"scene_id","original_file","AI美化线上版文件","AI美化线上版_材质色差","AI美化线上版_材质品类变化","AI美化线上版_光影过强","AI美化线上版_结构与物品变化","AI美化线上版_总评","AI美化线上版_备注","AI美化LoRA版文件","AI美化LoRA版_材质色差","AI美化LoRA版_材质品类变化","AI美化LoRA版_光影过强","AI美化LoRA版_结构与物品变化","AI美化LoRA版_总评","AI美化LoRA版_备注","实时增强结果版文件","实时增强结果版_材质色差","实时增强结果版_材质品类变化","实时增强结果版_光影过强","实时增强结果版_结构与物品变化","实时增强结果版_总评","实时增强结果版_备注","实时增强LoRA版文件","实时增强LoRA版_材质色差","实时增强LoRA版_材质品类变化","实时增强LoRA版_光影过强","实时增强LoRA版_结构与物品变化","实时增强LoRA版_总评","实时增强LoRA版_备注"
"11","空房间测试11.jpg","空房间ai美化线上版11.jpg","","","","","","","空房间ai美化测试11.jpg","","","","","","","空房间实时增强测试11.jpg","","","","","","","空房间实时增强lora测试11.jpg","","","","","",""
"12","空房间测试12.jpg","空房间ai美化线上版12.jpg","","","","","","","空房间ai美化测试12.jpg","","","","","","","空房间实时增强测试12.jpg","","","","","","","空房间实时增强lora测试12.jpg","","","","","",""
"13","空房间测试13.jpg","空房间ai美化线上版13.jpg","","","","","","","空房间ai美化测试13.jpg","","","","","","","空房间实时增强测试13.jpg","","","","","","","空房间实时增强lora测试13.jpg","","","","","",""
"14","空房间测试14.jpg","空房间ai美化线上版14.jpg","","","","","","","空房间ai美化测试14.jpg","","","","","","","空房间实时增强测试14.jpg","","","","","","","空房间实时增强lora测试14.jpg","","","","","",""
"15","空房间测试15.jpg","空房间ai美化线上版15.jpg","","","","","","","空房间ai美化测试15.jpg","","","","","","","空房间实时增强测试15.jpg","","","","","","","空房间实时增强lora测试15.jpg","","","","","",""
"16","空房间测试16.jpg","空房间ai美化线上版16.jpg","","","","","","","空房间ai美化测试16.jpg","","","","","","","空房间实时增强测试16.jpg","","","","","","","空房间实时增强lora测试16.jpg","","","","","",""
"17","空房间测试17.jpg","空房间ai美化线上版17.jpg","","","","","","","空房间ai美化测试17.jpg","","","","","","","空房间实时增强测试17.jpg","","","","","","","空房间实时增强lora测试17.jpg","","","","","",""
"18","空房间测试18.jpg","空房间ai美化线上版18.jpg","","","","","","","空房间ai美化测试18.jpg","","","","","","","空房间实时增强测试18.jpg","","","","","","","空房间实时增强lora测试18.jpg","","","","","",""
"19","空房间测试19.jpg","空房间ai美化线上版19.jpg","","","","","","","空房间ai美化测试19.jpg","","","","","","","空房间实时增强测试19.jpg","","","","","","","空房间实时增强lora测试19.jpg","","","","","",""
"20","空房间测试20.jpg","空房间ai美化线上版20.jpg","","","","","","","空房间ai美化测试20.jpg","","","","","","","空房间实时增强测试20.jpg","","","","","","","空房间实时增强lora测试20.jpg","","","","","",""
"21","空房间测试21.jpg","空房间ai美化线上版21.jpg","","","","","","","空房间ai美化测试21.jpg","","","","","","","空房间实时增强测试21.jpg","","","","","","","空房间实时增强lora测试21.jpg","","","","","",""
"22","空房间测试22.jpg","空房间ai美化线上版22.jpg","","","","","","","空房间ai美化测试22.jpg","","","","","","","空房间实时增强测试22.jpg","","","","","","","空房间实时增强lora测试22.jpg","","","","","",""
"23","空房间测试23.jpg","空房间ai美化线上版23.jpg","","","","","","","空房间ai美化测试23.jpg","","","","","","","空房间实时增强测试23.jpg","","","","","","","空房间实时增强lora测试23.jpg","","","","","",""
"24","空房间测试24.jpg","空房间ai美化线上版24.jpg","","","","","","","空房间ai美化测试24.jpg","","","","","","","空房间实时增强测试24.jpg","","","","","","","空房间实时增强lora测试24.jpg","","","","","",""
"25","空房间测试25.jpg","空房间ai美化线上版25.jpg","","","","","","","空房间ai美化测试25.jpg","","","","","","","空房间实时增强测试25.jpg","","","","","","","空房间实时增强lora测试25.jpg","","","","","",""
"26","空房间测试26.jpg","空房间ai美化线上版26.jpg","","","","","","","空房间ai美化测试26.jpg","","","","","","","空房间实时增强测试26.jpg","","","","","","","空房间实时增强lora测试26.jpg","","","","","",""
"27","空房间测试27.jpg","空房间ai美化线上版27.jpg","","","","","","","空房间ai美化测试27.jpg","","","","","","","空房间实时增强测试27.jpg","","","","","","","空房间实时增强lora测试27.jpg","","","","","",""
"28","空房间测试28.jpg","空房间ai美化线上版28.jpg","","","","","","","空房间ai美化测试28.jpg","","","","","","","空房间实时增强测试28.jpg","","","","","","","空房间实时增强lora测试28.jpg","","","","","",""
"29","空房间测试29.jpg","空房间ai美化线上版29.jpg","","","","","","","空房间ai美化测试29.jpg","","","","","","","空房间实时增强测试29.jpg","","","","","","","空房间实时增强lora测试29.jpg","","","","","",""
"30","空房间测试30.jpg","空房间ai美化线上版30.jpg","","","","","","","空房间ai美化测试30.jpg","","","","","","","空房间实时增强测试30.jpg","","","","","","","空房间实时增强lora测试30.jpg","","","","","",""
"31","空房间测试31.jpg","空房间ai美化线上版31.jpg","","","","","","","空房间ai美化测试31.jpg","","","","","","","空房间实时增强测试31.jpg","","","","","","","空房间实时增强lora测试31.jpg","","","","","",""
"32","空房间测试32.jpg","空房间ai美化线上版32.jpg","","","","","","","空房间ai美化测试32.jpg","","","","","","","空房间实时增强测试32.jpg","","","","","","","空房间实时增强lora测试32.jpg","","","","","",""
"33","空房间测试33.jpg","空房间ai美化线上版33.jpg","","","","","","","空房间ai美化测试33.jpg","","","","","","","空房间实时增强测试33.jpg","","","","","","","空房间实时增强lora测试33.jpg","","","","","",""
"34","空房间测试34.jpg","空房间ai美化线上版34.jpg","","","","","","","空房间ai美化测试34.jpg","","","","","","","空房间实时增强测试34.jpg","","","","","","","空房间实时增强lora测试34.jpg","","","","","",""
"35","空房间测试35.jpg","空房间ai美化线上版35.jpg","","","","","","","空房间ai美化测试35.jpg","","","","","","","空房间实时增强测试35.jpg","","","","","","","空房间实时增强lora测试35.jpg","","","","","",""
"36","空房间测试36.jpg","空房间ai美化线上版36.jpg","","","","","","","空房间ai美化测试36.jpg","","","","","","","空房间实时增强测试36.jpg","","","","","","","空房间实时增强lora测试36.jpg","","","","","",""
"37","空房间测试37.jpg","空房间ai美化线上版37.jpg","","","","","","","空房间ai美化测试37.jpg","","","","","","","空房间实时增强测试37.jpg","","","","","","","空房间实时增强lora测试37.jpg","","","","","",""
"38","空房间测试38.jpg","空房间ai美化线上版38.jpg","","","","","","","空房间ai美化测试38.jpg","","","","","","","空房间实时增强测试38.jpg","","","","","","","空房间实时增强lora测试38.jpg","","","","","",""
"39","空房间测试39.jpg","空房间ai美化线上版39.jpg","","","","","","","空房间ai美化测试39.jpg","","","","","","","空房间实时增强测试39.jpg","","","","","","","空房间实时增强lora测试39.jpg","","","","","",""
"40","空房间测试40.jpg","空房间ai美化线上版40.jpg","","","","","","","空房间ai美化测试40.jpg","","","","","","","空房间实时增强测试40.jpg","","","","","","","空房间实时增强lora测试40.jpg","","","","","",""
"41","空房间测试41.jpg","空房间ai美化线上版41.jpg","","","","","","","空房间ai美化测试41.jpg","","","","","","","空房间实时增强测试41.jpg","","","","","","","空房间实时增强lora测试41.jpg","","","","","",""
"42","空房间测试42.jpg","空房间ai美化线上版42.jpg","","","","","","","空房间ai美化测试42.jpg","","","","","","","空房间实时增强测试42.jpg","","","","","","","空房间实时增强lora测试42.jpg","","","","","",""
"43","空房间测试43.jpg","空房间ai美化线上版43.jpg","","","","","","","空房间ai美化测试43.jpg","","","","","","","空房间实时增强测试43.jpg","","","","","","","空房间实时增强lora测试43.jpg","","","","","",""
"44","空房间测试44.jpg","空房间ai美化线上版44.jpg","","","","","","","空房间ai美化测试44.jpg","","","","","","","空房间实时增强测试44.jpg","","","","","","","空房间实时增强lora测试44.jpg","","","","","",""
"45","空房间测试45.jpg","空房间ai美化线上版45.jpg","","","","","","","空房间ai美化测试45.jpg","","","","","","","空房间实时增强测试45.jpg","","","","","","","空房间实时增强lora测试45.jpg","","","","","",""
