scene_id,test_set,file_name,level,primary_dimension,issue_type,issue_desc,factual_impact,confidence,note
24,AI美化线上版,空房间ai美化线上版24.jpg,3,材质与颜色保真,颜色偏移,墙面圆弧转角被化成不一样的颜色,是,高,
26,待确认,待确认,3,材质与颜色保真,颜色偏移,瓷砖会变深,是,低,未明确对应测试集
27,待确认,待确认,3,材质与颜色保真,颜色偏移,与场景26同样问题，瓷砖会变深,是,低,未明确对应测试集
28,待确认,待确认,3,材质与颜色保真,颜色偏移,与场景26同样问题,是,低,未明确对应测试集
29,AI美化线上版,空房间ai美化线上版29.jpg,4,材质与颜色保真,颜色偏移,墙体颜色问题很大,是,高,
31,AI美化线上版,空房间ai美化线上版31.jpg,3,光影与曝光合理性,反光异常,反光严重,是,高,
33,AI美化线上版,空房间ai美化线上版33.jpg,3,光影与曝光合理性,错误光源,厨房出现不正常光线,是,高,
33,实时增强结果版,空房间实时增强测试33.jpg,4,结构保真,物体幻觉,门上出现了把手,是,高,
34,实时增强LoRA版,空房间实时增强lora测试34.jpg,3,材质与颜色保真,颜色偏移,墙面颜色变化大,是,中,原记录写在场景33后，按文件名拆到34
37,实时增强LoRA版,空房间实时增强lora测试37.jpg,4,光影与曝光合理性,错误光源,出现不符合原图的射灯,是,高,
38,实时增强LoRA版,空房间实时增强lora测试38.jpg,3,材质与颜色保真,颜色偏移,厨房推拉门把手颜色错误,是,高,
40,待确认,待确认,4,光影与曝光合理性,错误光源,暗度走廊出现射灯,是,低,未明确对应测试集
41,实时增强LoRA版,空房间实时增强lora测试41.jpg,4,结构保真,结构幻觉,莫名出现了柜子,是,高,
41,AI美化线上版,空房间ai美化线上版41.jpg,4,材质与颜色保真,过度增强,地板全是坑,是,高,
42,AI美化线上版,空房间ai美化线上版42.jpg,4,光影与曝光合理性,错误光源,出现离谱大光斑,是,高,
42,实时增强LoRA版,空房间实时增强lora测试42.jpg,4,材质与颜色保真,颜色偏移,水槽由黑变白,是,高,
42,AI美化LoRA版,空房间ai美化测试42.jpg,4,材质与颜色保真,颜色偏移,水槽由黑变白,是,高,
42,实时增强结果版,空房间实时增强测试42.jpg,4,材质与颜色保真,颜色偏移,水槽由黑变白,是,高,
43,实时增强结果版,空房间实时增强测试43.jpg,4,结构保真,结构幻觉,墙变柜子,是,高,
44,AI美化线上版,空房间ai美化线上版44.jpg,4,光影与曝光合理性,错误光源,多了很多离谱射灯和大反光,是,高,备注为“但原图用的是柔光转”
